Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Max Air Temp (C),qc,Min Air Temp (C),qc,Avg Air Temp (C),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (C),qc,Avg Wind Speed (m/s),qc,Wind Run (km),qc,Avg Soil Temp (C),qc
155,Bryte (experimental),Sacramento Valley,1/4/1999,004,,N,0.20, ,52, ,0.8, ,8.3, ,2.1, ,3.6, ,100, ,85, ,100, ,3.8, ,0.9, ,75.0, ,6.7, 
155,Bryte (experimental),Sacramento Valley,1/5/1999,005,,N,0.20, ,23, ,0.8, ,3.9,Y,0.7, ,2.3, ,100, ,100, ,100, ,2.9, ,0.8, ,72.1, ,6.4, 
155,Bryte (experimental),Sacramento Valley,1/6/1999,006,,N,0.00, ,38, ,0.7, ,5.5, ,0.9, ,2.4, ,100, ,95, ,100, ,2.7, ,1.3, ,108.3, ,6.2, 
155,Bryte (experimental),Sacramento Valley,1/7/1999,007,,N,0.00, ,16, ,0.7, ,3.5,Y,1.4, ,2.3, ,100, ,97, ,100, ,2.6, ,1.2, ,99.7, ,6.1, 
155,Bryte (experimental),Sacramento Valley,1/8/1999,008,,N,0.00, ,106, ,0.7, ,11.1, ,0.6, ,4.4, ,100, ,57, ,86, ,2.3, ,1.5, ,132.5, ,6.1, 
155,Bryte (experimental),Sacramento Valley,1/9/1999,009,,N,0.00, ,27, ,0.7, ,4.5,Y,-0.1, ,2.2, ,100, ,97, ,100, ,2.5, ,0.9, ,80.9, ,5.9, 
155,Bryte (experimental),Sacramento Valley,1/10/1999,010,,N,0.00, ,29, ,0.7, ,3.6,Y,0.6, ,1.8, ,100, ,98, ,100, ,2.2, ,1.1, ,91.0, ,5.9, 
155,Bryte (experimental),Sacramento Valley,1/11/1999,011,,N,0.10, ,61, ,0.7, ,8.2, ,-0.2, ,2.3, ,100, ,77, ,99, ,2.2, ,1.2, ,101.1, ,5.8, 
155,Bryte (experimental),Sacramento Valley,1/12/1999,012,,N,0.10, ,86, ,0.8, ,11.3, ,0.7, ,4.1, ,100, ,66, ,94, ,3.3, ,1.4, ,125.0, ,5.8, 
155,Bryte (experimental),Sacramento Valley,1/13/1999,013,,N,0.00, ,96, ,0.9, ,14.4, ,3.0, ,7.1, ,100, ,61, ,90, ,5.5, ,1.2, ,107.8, ,6.3, 
155,Bryte (experimental),Sacramento Valley,1/14/1999,014,,N,1.70, ,56, ,1.0, ,12.5, ,2.9, ,7.4, ,100, ,76, ,93, ,6.3, ,0.9, ,77.8, ,6.6, 
155,Bryte (experimental),Sacramento Valley,1/15/1999,015,,N,8.40, ,65, ,1.2, ,14.8, ,8.3, ,10.8, ,100, ,78, ,95, ,10.1, ,1.6, ,135.0, ,7.7, 
155,Bryte (experimental),Sacramento Valley,1/16/1999,016,,N,1.30, ,53, ,1.3, ,15.3, ,10.7, ,12.4, ,100, ,69, ,92, ,11.1, ,1.9, ,166.8, ,9.0, 
155,Bryte (experimental),Sacramento Valley,1/17/1999,017,,N,0.70, ,50, ,1.4, ,16.1, ,10.4, ,13.4, ,100, ,78, ,91, ,11.9, ,2.1, ,183.2, ,9.5, 
155,Bryte (experimental),Sacramento Valley,1/18/1999,018,,N,12.10, ,27, ,1.5,Y,14.9, ,12.3,Y,13.2, ,100, ,80, ,100,Y,13.2,Y,2.1, ,178.0, ,10.3, 
155,Bryte (experimental),Sacramento Valley,1/19/1999,019,,N,13.20, ,44, ,1.6,Y,16.8, ,12.3,Y,13.9, ,100, ,83, ,99,Y,13.7,Y,1.8, ,158.6, ,10.8, 
155,Bryte (experimental),Sacramento Valley,1/20/1999,020,,N,0.10, ,33, ,1.4, ,15.2, ,10.5, ,13.1, ,100, ,80, ,92, ,11.8, ,2.5, ,217.6, ,11.2, 
155,Bryte (experimental),Sacramento Valley,1/21/1999,021,,N,0.00, ,103, ,1.1, ,16.2, ,8.7, ,11.5, ,95, ,53, ,80, ,8.2, ,1.4, ,124.8, ,10.6, 
155,Bryte (experimental),Sacramento Valley,1/22/1999,022,,N,0.20, ,55, ,1.1, ,16.1, ,10.0, ,12.2, ,95, ,62, ,81, ,9.0, ,2.3, ,200.4, ,10.5, 
155,Bryte (experimental),Sacramento Valley,1/23/1999,023,,N,8.70, ,52, ,1.1, ,13.2, ,3.4, ,9.8, ,100, ,68, ,90, ,8.3, ,1.6, ,136.9, ,10.5, 
155,Bryte (experimental),Sacramento Valley,1/24/1999,024,,N,0.00, ,136, ,0.7, ,13.6, ,-0.2, ,6.6, ,100, ,48, ,76, ,2.6, ,2.1, ,184.6, ,9.0, 
155,Bryte (experimental),Sacramento Valley,1/25/1999,025,,N,0.70, ,93, ,0.6, ,13.1, ,5.2, ,7.9, ,95, ,40, ,60, ,0.7, ,3.0, ,261.4, ,8.4, 
155,Bryte (experimental),Sacramento Valley,1/26/1999,026,,N,1.70, ,83, ,0.9, ,10.9, ,4.5, ,6.9, ,99, ,70, ,87, ,4.9, ,2.3, ,197.6, ,8.2, 
155,Bryte (experimental),Sacramento Valley,1/27/1999,027,,N,0.00, ,143, ,0.7, ,14.0, ,2.9, ,7.9, ,94, ,37, ,63, ,1.3, ,2.4, ,207.7, ,7.7, 
155,Bryte (experimental),Sacramento Valley,1/28/1999,028,,N,0.00, ,139, ,0.8, ,14.2, ,2.7, ,7.2, ,97, ,51, ,78, ,3.7, ,1.3, ,114.7, ,7.6, 
155,Bryte (experimental),Sacramento Valley,1/29/1999,029,,N,0.00, ,119, ,0.8, ,11.8, ,-1.4, ,5.0, ,100, ,70, ,93, ,4.0, ,0.8, ,72.7, ,7.2, 
155,Bryte (experimental),Sacramento Valley,1/30/1999,030,,N,0.00, ,53, ,0.8, ,9.2, ,0.8, ,5.1, ,100, ,82, ,97, ,4.6, ,1.0, ,84.2, ,6.9, 
155,Bryte (experimental),Sacramento Valley,1/31/1999,031,,N,19.80, ,79, ,1.0, ,12.3, ,5.0, ,8.4, ,100, ,70, ,92, ,7.1, ,1.3, ,108.3, ,7.5, 
155,Bryte (experimental),Sacramento Valley,2/1/1999,032,,N,0.00, ,145, ,0.9, ,12.5, ,2.9, ,6.9, ,100, ,58, ,86, ,4.7, ,1.4, ,123.9, ,7.7, 
155,Bryte (experimental),Sacramento Valley,2/2/1999,033,,N,0.00, ,140, ,0.8, ,13.9, ,0.6, ,6.9, ,100, ,53, ,84, ,4.4, ,0.9, ,78.2, ,7.1, 
155,Bryte (experimental),Sacramento Valley,2/3/1999,034,,N,0.00, ,144, ,0.9, ,17.1, ,2.5, ,9.5, ,100, ,45, ,75, ,5.3, ,1.0, ,90.0, ,7.3, 
155,Bryte (experimental),Sacramento Valley,2/4/1999,035,,N,0.00, ,124, ,0.9, ,14.3, ,4.9, ,9.5, ,100, ,52, ,77, ,5.8, ,1.5, ,133.3, ,8.0, 
155,Bryte (experimental),Sacramento Valley,2/5/1999,036,,N,0.00, ,131, ,0.8, ,15.2, ,1.6, ,8.2, ,100, ,46, ,73, ,3.8, ,1.6, ,137.1, ,7.7, 
155,Bryte (experimental),Sacramento Valley,2/6/1999,037,,N,14.30, ,30, ,1.0, ,11.2, ,7.8, ,9.4, ,93, ,72, ,84, ,6.8, ,3.4, ,295.4, ,8.2, 
155,Bryte (experimental),Sacramento Valley,2/7/1999,038,,N,27.70, ,66, ,1.3, ,15.8, ,9.7, ,11.7, ,100, ,78, ,92, ,10.3, ,3.1, ,270.9, ,9.0, 
155,Bryte (experimental),Sacramento Valley,2/8/1999,039,,N,5.30, ,33, ,1.4, ,14.1, ,9.9, ,12.2, ,100, ,94, ,98, ,11.9, ,1.8, ,159.5, ,9.7, 
155,Bryte (experimental),Sacramento Valley,2/9/1999,040,,N,12.30, ,117, ,0.9, ,14.4, ,2.3, ,9.5, ,99, ,44, ,78, ,6.0, ,3.3, ,285.5, ,10.0, 
155,Bryte (experimental),Sacramento Valley,2/10/1999,041,,N,0.00, ,167, ,0.6, ,10.4, ,-0.5, ,4.9, ,99, ,45, ,73, ,0.5, ,1.3, ,115.3, ,8.1, 
155,Bryte (experimental),Sacramento Valley,2/11/1999,042,,N,0.00, ,154, ,0.7, ,12.5, ,0.6, ,5.8, ,97, ,47, ,77, ,2.0, ,1.4, ,122.9, ,7.4, 
155,Bryte (experimental),Sacramento Valley,2/12/1999,043,,N,0.00, ,101, ,0.8, ,11.8, ,2.2, ,6.2, ,98, ,59, ,83, ,3.4, ,1.1, ,98.8, ,7.3, 
155,Bryte (experimental),Sacramento Valley,2/13/1999,044,,N,3.10, ,124, ,0.9, ,13.8, ,3.1, ,8.2, ,99, ,51, ,81, ,5.1, ,1.5, ,126.8, ,7.6, 
155,Bryte (experimental),Sacramento Valley,2/14/1999,045,,N,0.40, ,71, ,1.0, ,12.2, ,4.7, ,8.0, ,100, ,76, ,96, ,7.4, ,1.0, ,89.1, ,8.2, 
155,Bryte (experimental),Sacramento Valley,2/15/1999,046,,N,0.10, ,135, ,0.9, ,14.0, ,2.5, ,8.4, ,100, ,62, ,84, ,5.8, ,1.1, ,98.9, ,7.9, 
155,Bryte (experimental),Sacramento Valley,2/16/1999,047,,N,15.80, ,42, ,1.2, ,11.5, ,7.4, ,9.5, ,100, ,92, ,98, ,9.2, ,2.1, ,179.9, ,8.7, 
155,Bryte (experimental),Sacramento Valley,2/17/1999,048,,N,0.60, ,74, ,1.3, ,15.9, ,9.5, ,11.8, ,100, ,81, ,94, ,10.8, ,1.6, ,139.3, ,9.5, 
155,Bryte (experimental),Sacramento Valley,2/18/1999,049,,N,4.10, ,43, ,1.2, ,13.8, ,6.3, ,10.3, ,100, ,84, ,96, ,9.8, ,1.6, ,140.1, ,9.8, 
155,Bryte (experimental),Sacramento Valley,2/19/1999,050,,N,0.00, ,165, ,0.9, ,15.2, ,4.4, ,9.1, ,100, ,54, ,81, ,6.1, ,2.8, ,238.1, ,9.2, 
155,Bryte (experimental),Sacramento Valley,2/20/1999,051,,N,18.90, ,33, ,1.1, ,11.6, ,4.5, ,8.3, ,100, ,79, ,97, ,7.8, ,1.4, ,121.5, ,8.8, 
155,Bryte (experimental),Sacramento Valley,2/21/1999,052,,N,0.50, ,145, ,0.9, ,13.9, ,5.1, ,9.5, ,98, ,53, ,75, ,5.3, ,1.9, ,167.9, ,8.9, 
155,Bryte (experimental),Sacramento Valley,2/22/1999,053,,N,0.00, ,146, ,1.0, ,17.1, ,8.4, ,11.9, ,86, ,48, ,69, ,6.5, ,1.0, ,89.3, ,9.5, 
155,Bryte (experimental),Sacramento Valley,2/23/1999,054,,N,0.00, ,176, ,1.1, ,18.0, ,6.6, ,12.3, ,99, ,57, ,77, ,8.4, ,1.2, ,102.0, ,9.9, 
155,Bryte (experimental),Sacramento Valley,2/24/1999,055,,N,2.90, ,93, ,1.1, ,15.5, ,7.9, ,11.8, ,99, ,61, ,80, ,8.6, ,1.8, ,152.2, ,10.3, 
155,Bryte (experimental),Sacramento Valley,2/25/1999,056,,N,0.00,R,89, ,0.9, ,15.4, ,5.4, ,10.4, ,99, ,50, ,69, ,5.0, ,1.2, ,101.5, ,10.5, 
155,Bryte (experimental),Sacramento Valley,2/26/1999,057,,N,0.00, ,133, ,0.9, ,13.4, ,3.7, ,8.5, ,100, ,61, ,83, ,5.8, ,1.1, ,93.2, ,9.6, 
155,Bryte (experimental),Sacramento Valley,2/27/1999,058,,N,0.00, ,162, ,1.0, ,18.2, ,8.0, ,12.4, ,99, ,39, ,70, ,7.2, ,1.1, ,94.1, ,10.2, 
155,Bryte (experimental),Sacramento Valley,2/28/1999,059,,N,6.40, ,72, ,1.3, ,18.8, ,10.4, ,13.4, ,100, ,58, ,82, ,10.4, ,1.8, ,155.3, ,10.9, 
155,Bryte (experimental),Sacramento Valley,3/1/1999,060,,N,0.00, ,204, ,1.2, ,16.7, ,7.7, ,12.3, ,100, ,51, ,82, ,9.3, ,1.3, ,110.2, ,11.3, 
155,Bryte (experimental),Sacramento Valley,3/2/1999,061,,N,1.90, ,196, ,1.0, ,20.2, ,4.7, ,12.0, ,100, ,38, ,74, ,7.5, ,1.6, ,141.9, ,10.7, 
155,Bryte (experimental),Sacramento Valley,3/3/1999,062,,N,0.20, ,198, ,0.9, ,16.3, ,7.9, ,11.8, ,98, ,40, ,66, ,5.5, ,1.7, ,150.9, ,11.2, 
155,Bryte (experimental),Sacramento Valley,3/4/1999,063,,N,0.00, ,195, ,0.7, ,13.8, ,3.6, ,8.5, ,96, ,33, ,64, ,2.0, ,1.6, ,136.0, ,10.3, 
155,Bryte (experimental),Sacramento Valley,3/5/1999,064,,N,0.00, ,174, ,0.7, ,15.2, ,2.6, ,8.4, ,95, ,35, ,62, ,1.5, ,1.3, ,112.2, ,9.5, 
155,Bryte (experimental),Sacramento Valley,3/6/1999,065,,N,0.00, ,169, ,0.8, ,14.9, ,4.4, ,9.3, ,90, ,46, ,67, ,3.4, ,1.1, ,99.2, ,9.5, 
155,Bryte (experimental),Sacramento Valley,3/7/1999,066,,N,0.00, ,216, ,0.8, ,16.3, ,2.2, ,8.8, ,100, ,31, ,69, ,3.5, ,1.8, ,152.3, ,9.5, 
155,Bryte (experimental),Sacramento Valley,3/8/1999,067,,N,10.00,R,15, ,1.0, ,10.2,Y,7.8, ,8.7, ,94, ,67, ,88, ,6.8, ,3.1, ,266.5, ,9.7, 
155,Bryte (experimental),Sacramento Valley,3/9/1999,068,,N,0.10, ,227, ,0.7, ,13.5, ,4.5, ,8.7, ,92, ,37, ,66, ,2.7, ,2.2, ,192.2, ,9.5, 
155,Bryte (experimental),Sacramento Valley,3/10/1999,069,,N,0.00, ,167, ,0.7, ,13.2, ,3.6, ,7.8, ,96, ,39, ,68, ,2.3, ,1.0, ,83.7, ,9.1, 
155,Bryte (experimental),Sacramento Valley,3/11/1999,070,,N,0.00, ,232, ,0.7, ,15.9, ,2.5, ,9.0, ,98, ,33, ,65, ,2.8, ,1.8, ,159.6, ,9.1, 
155,Bryte (experimental),Sacramento Valley,3/12/1999,071,,N,0.00, ,224, ,0.9, ,19.0, ,3.2, ,10.6, ,100, ,35, ,68, ,5.0, ,1.3, ,108.0, ,9.3, 
155,Bryte (experimental),Sacramento Valley,3/13/1999,072,,N,0.00, ,183, ,1.0, ,17.6, ,6.0, ,11.4, ,95, ,57, ,75, ,7.2, ,1.7, ,146.1, ,10.2, 
155,Bryte (experimental),Sacramento Valley,3/14/1999,073,,N,0.00, ,86, ,1.0, ,14.8, ,8.5, ,10.6, ,96, ,53, ,77, ,6.8, ,1.4, ,123.3, ,10.7, 
155,Bryte (experimental),Sacramento Valley,3/15/1999,074,,N,0.00, ,201, ,1.0, ,18.8, ,7.0, ,11.6, ,99, ,52, ,76, ,7.6, ,1.9, ,160.8, ,11.0, 
155,Bryte (experimental),Sacramento Valley,3/16/1999,075,,N,0.00, ,155, ,1.0, ,16.9, ,7.2, ,11.4, ,98, ,57, ,78, ,7.7, ,1.5, ,126.4, ,11.3, 
155,Bryte (experimental),Sacramento Valley,3/17/1999,076,,N,0.00, ,225, ,1.0, ,17.5, ,8.3, ,12.3, ,91, ,51, ,70, ,7.1, ,1.4, ,121.9, ,11.8, 
155,Bryte (experimental),Sacramento Valley,3/18/1999,077,,N,0.00, ,144, ,1.0, ,15.6, ,8.1, ,11.3, ,91, ,64, ,78, ,7.5, ,1.3, ,110.5, ,11.9, 
155,Bryte (experimental),Sacramento Valley,3/19/1999,078,,N,0.80, ,145, ,1.1, ,18.0, ,7.6, ,11.2, ,100, ,56, ,80, ,7.8, ,1.8, ,156.7, ,11.9, 
155,Bryte (experimental),Sacramento Valley,3/20/1999,079,,N,0.80, ,171, ,0.9, ,15.7, ,7.7, ,11.6, ,93, ,51, ,69, ,6.0, ,1.5, ,126.9, ,11.9, 
155,Bryte (experimental),Sacramento Valley,3/21/1999,080,,N,0.70, ,220, ,1.0, ,18.2, ,8.6, ,12.2, ,90, ,42, ,71, ,7.1, ,1.6, ,140.1, ,12.0, 
155,Bryte (experimental),Sacramento Valley,3/22/1999,081,,N,0.90, ,178, ,1.0, ,16.2, ,6.3, ,10.7, ,100, ,44, ,78, ,6.9, ,1.8, ,152.6, ,11.7, 
155,Bryte (experimental),Sacramento Valley,3/23/1999,082,,N,0.00, ,193, ,1.0, ,17.0, ,8.8, ,12.2, ,93, ,53, ,72, ,7.2, ,1.6, ,139.9, ,12.1, 
155,Bryte (experimental),Sacramento Valley,3/24/1999,083,,N,11.80, ,71, ,1.1, ,16.2, ,10.2, ,12.5, ,100, ,53, ,78, ,8.7, ,1.4, ,120.4, ,12.2, 
155,Bryte (experimental),Sacramento Valley,3/25/1999,084,,N,1.80, ,216, ,1.3, ,19.0, ,9.9, ,14.3, ,100, ,63, ,82, ,11.3, ,1.5, ,127.4, ,12.8, 
155,Bryte (experimental),Sacramento Valley,3/26/1999,085,,N,0.00, ,239, ,1.2, ,20.4, ,8.3, ,13.4, ,100, ,48, ,76, ,9.2, ,1.4, ,124.2, ,13.1, 
155,Bryte (experimental),Sacramento Valley,3/27/1999,086,,N,0.00, ,268,R,0.7, ,18.0, ,5.8, ,10.9, ,85, ,23, ,53, ,1.8, ,2.1, ,179.0, ,12.5, 
155,Bryte (experimental),Sacramento Valley,3/28/1999,087,,N,0.00, ,264, ,0.8, ,17.9, ,3.9, ,10.4, ,90, ,37, ,65, ,4.1, ,1.2, ,105.1, ,12.3, 
155,Bryte (experimental),Sacramento Valley,3/29/1999,088,,N,0.00, ,219, ,0.9, ,18.6, ,5.4, ,11.2, ,91, ,41, ,65, ,5.0, ,1.8, ,152.3, ,12.3, 
155,Bryte (experimental),Sacramento Valley,3/30/1999,089,,N,0.70, ,222, ,0.7, ,14.5, ,3.8, ,9.3, ,90, ,38, ,61, ,2.3, ,2.6, ,225.6, ,11.9, 
155,Bryte (experimental),Sacramento Valley,3/31/1999,090,,N,0.00, ,270, ,0.7, ,15.0, ,3.0, ,8.9, ,87, ,35, ,60, ,1.5, ,1.5, ,126.3, ,11.6, 
155,Bryte (experimental),Sacramento Valley,4/1/1999,091,,N,0.00, ,280,R,0.7, ,16.5, ,2.4, ,10.0, ,97, ,30, ,55, ,1.4, ,2.3, ,202.7, ,11.5, 
155,Bryte (experimental),Sacramento Valley,4/2/1999,092,,N,0.00, ,282,R,0.6, ,18.6, ,6.1, ,12.4, ,67, ,22, ,42, ,-0.1, ,2.7, ,232.8, ,11.7, 
155,Bryte (experimental),Sacramento Valley,4/3/1999,093,,N,0.00, ,210, ,0.6, ,14.4, ,7.6, ,10.5, ,83, ,23, ,47, ,-0.3, ,4.4, ,377.7, ,12.0, 
155,Bryte (experimental),Sacramento Valley,4/4/1999,094,,N,0.00, ,289,R,0.5, ,17.9, ,5.2, ,11.0, ,70, ,22, ,40, ,-2.1, ,3.7, ,322.0, ,11.6, 
155,Bryte (experimental),Sacramento Valley,4/5/1999,095,,N,11.80, ,79, ,0.9, ,10.6,Y,5.1, ,7.5, ,96, ,65, ,84, ,5.0, ,2.5, ,211.9, ,11.6, 
155,Bryte (experimental),Sacramento Valley,4/6/1999,096,,N,3.50, ,196, ,0.9, ,14.0, ,4.6, ,9.1, ,100, ,50, ,77, ,5.2, ,1.2, ,105.0, ,11.2, 
155,Bryte (experimental),Sacramento Valley,4/7/1999,097,,N,0.60, ,149, ,1.0, ,13.7, ,5.6, ,9.5, ,97, ,66, ,82, ,6.6, ,2.3, ,197.6, ,11.3, 
155,Bryte (experimental),Sacramento Valley,4/8/1999,098,,N,5.90, ,217, ,0.8, ,12.4, ,3.7, ,8.4, ,96, ,52, ,75, ,4.3, ,2.6, ,222.7, ,11.3, 
155,Bryte (experimental),Sacramento Valley,4/9/1999,099,,N,0.00, ,294,R,0.7, ,14.3, ,1.7, ,8.0, ,100, ,28, ,61, ,0.9, ,1.3, ,115.3, ,10.7, 
155,Bryte (experimental),Sacramento Valley,4/10/1999,100,,N,2.20, ,154, ,0.8, ,14.2, ,4.7, ,8.9, ,97, ,41, ,73, ,4.3, ,1.7, ,144.7, ,11.0, 
155,Bryte (experimental),Sacramento Valley,4/11/1999,101,,N,0.30, ,200, ,1.0, ,17.1, ,8.4, ,12.3, ,94, ,45, ,72, ,7.4, ,1.8, ,154.0, ,11.7, 
155,Bryte (experimental),Sacramento Valley,4/12/1999,102,,N,0.00, ,293, ,1.2, ,25.1, ,5.4, ,14.6, ,100, ,40, ,70, ,9.1, ,1.7, ,150.7, ,12.5, 
155,Bryte (experimental),Sacramento Valley,4/13/1999,103,,N,0.00, ,285, ,1.3, ,24.7, ,9.0, ,16.6, ,97, ,47, ,70, ,11.1, ,1.2, ,103.5, ,13.8, 
155,Bryte (experimental),Sacramento Valley,4/14/1999,104,,N,0.00, ,301, ,1.0, ,27.4, ,9.7, ,18.3, ,100, ,23, ,48, ,7.0, ,2.2, ,187.6, ,14.6, 
155,Bryte (experimental),Sacramento Valley,4/15/1999,105,,N,0.00, ,296, ,0.9, ,29.6, ,9.5, ,19.3, ,68, ,20, ,40, ,5.3, ,1.1, ,97.3, ,15.0, 
155,Bryte (experimental),Sacramento Valley,4/16/1999,106,,N,0.00, ,265, ,1.3, ,30.5, ,12.6, ,21.2, ,87, ,30, ,52, ,10.8, ,0.9, ,79.6, ,15.9, 
155,Bryte (experimental),Sacramento Valley,4/17/1999,107,,N,0.00, ,282, ,1.3, ,30.5, ,14.8,Y,21.6, ,79, ,20, ,48, ,10.3, ,1.1, ,92.2, ,16.8, 
155,Bryte (experimental),Sacramento Valley,4/18/1999,108,,N,0.00, ,287, ,1.2, ,28.9, ,13.1, ,19.9, ,71, ,31, ,53, ,10.0, ,1.4, ,121.0, ,17.3, 
155,Bryte (experimental),Sacramento Valley,4/19/1999,109,,N,0.00, ,274, ,1.2, ,27.4, ,11.0, ,17.9, ,83, ,36, ,58, ,9.6, ,1.6, ,134.7, ,17.5, 
155,Bryte (experimental),Sacramento Valley,4/20/1999,110,,N,0.00, ,275, ,1.1, ,25.7, ,9.5, ,17.3, ,89, ,28, ,55, ,8.2, ,1.6, ,134.8, ,17.7, 
