source,station,latitude,longitude,date,datetime,chlorophyll,diss_ammonia,diss_nitrate_nitrite,diss_orthophos
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2005-08-23,2005-08-23 12:10:00,NA,NA,0.06,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1998-08-13,1998-08-13 12:00:00,NA,0.08,0.08,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2003-09-23,2003-09-23 13:30:00,NA,NA,NA,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2003-04-14,2003-04-14 12:30:00,NA,NA,0.15,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2015-04-27,2015-04-27 11:30:00,NA,0.03,0.08,0.04
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2005-04-27,2005-04-27 12:00:00,NA,NA,0.16,0.01
USGS CAWSC,USGS-382006121401601,38.33500556,-121.6711083,2018-04-20,2018-04-20 02:58:00,2.5,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2008-05-05,2008-05-05 13:00:00,NA,0.01,0.07,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2017-06-22,2017-06-22 11:30:00,4.1,NA,0.079,0.021
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2004-07-29,2004-07-29 15:10:00,NA,NA,NA,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2007-08-21,2007-08-21 11:40:00,NA,0.02,0.03,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2010-04-06,2010-04-06 12:00:00,NA,NA,0.14,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2006-07-17,2006-07-17 11:00:00,NA,0.02,0.1,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2005-09-29,2005-09-29 11:30:00,NA,NA,0.07,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1997-07-29,1997-07-29 10:30:00,NA,0.02,0.06,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2001-08-28,2001-08-28 12:20:00,NA,NA,NA,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1998-06-09,1998-06-09 10:30:00,NA,0.03,0.12,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2009-06-24,2009-06-24 11:50:00,NA,NA,0.056,0.031
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2007-07-24,2007-07-24 12:30:00,NA,0.11,0.09,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2014-06-03,2014-06-03 12:00:00,NA,0.01,NA,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2008-03-11,2008-03-11 10:50:00,NA,NA,0.24,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1999-06-04,1999-06-04 11:30:00,NA,0.03,0.1,0.05
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2017-08-21,2017-08-21 09:40:00,NA,NA,NA,0.024
USGS CAWSC,USGS-11455167,38.2903861,-121.662225,2018-04-19,2018-04-19 16:36:00,2.5,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2013-07-29,2013-07-29 12:30:00,NA,0.01,NA,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2009-04-21,2009-04-21 10:20:00,NA,0.02,0.074,0.022
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2000-08-29,2000-08-29 11:00:00,NA,NA,0.05,0.02
USGS CAWSC,USGS-11455478,38.093252,-121.7371772,2013-06-06,2013-06-06 10:45:00,NA,0.13,0.37,0.07
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2011-03-15,2011-03-15 10:30:00,NA,0.01,0.12,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2000-04-24,2000-04-24 11:40:00,NA,NA,0.14,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2006-09-19,2006-09-19 11:40:00,NA,0.009,0.08,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2016-05-12,2016-05-12 11:30:00,NA,0.01,0.14,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2016-05-26,2016-05-26 11:30:00,NA,NA,NA,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2017-10-19,2017-10-19 11:30:00,NA,NA,0.053,0.017
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2007-09-24,2007-09-24 11:30:00,NA,NA,0.09,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1998-09-15,1998-09-15 10:30:00,NA,0.05,0.11,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1997-10-23,1997-10-23 11:00:00,NA,0.02,0.09,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2013-06-04,2013-06-04 12:30:00,NA,NA,0.06,0.04
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2001-09-17,2001-09-17 13:20:00,NA,NA,0.05,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2003-07-22,2003-07-22 12:20:00,NA,NA,NA,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1997-09-23,1997-09-23 10:30:00,NA,NA,0.13,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1998-04-07,1998-04-07 10:30:00,NA,0.03,0.13,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1997-07-14,1997-07-14 12:30:00,NA,NA,0.07,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2002-07-17,2002-07-17 12:10:00,NA,NA,0.03,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1997-08-12,1997-08-12 11:20:00,NA,0.04,0.08,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2002-04-25,2002-04-25 10:30:00,NA,NA,0.07,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2004-05-27,2004-05-27 13:20:00,NA,NA,0.08,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1997-04-28,1997-04-28 09:50:00,NA,NA,0.16,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2016-10-19,2016-10-19 13:00:00,NA,0.01,0.197,0.04
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2011-06-07,2011-06-07 13:30:00,NA,NA,0.07,NA
USGS CAWSC,USGS-11455350,38.21277778,-121.6691667,2013-06-06,2013-06-06 10:00:00,NA,0.13,0.364,0.081
USGS CAWSC,USGS-11455143,38.3354111,-121.658186,2018-04-20,2018-04-20 09:18:00,2.9,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1998-10-22,1998-10-22 10:30:00,NA,NA,0.16,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2010-05-19,2010-05-19 12:10:00,NA,NA,0.07,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2005-09-06,2005-09-06 09:50:00,NA,NA,0.07,0.02
USGS CAWSC,USGS-11455315,38.2430111,-121.684286,2013-06-06,2013-06-06 12:45:00,NA,0.09,0.39,0.08
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1998-07-30,1998-07-30 10:00:00,NA,NA,0.09,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1997-06-20,1997-06-20 09:30:00,NA,NA,0.09,0.01
USGS CAWSC,USGS-11455350,38.21277778,-121.6691667,2013-06-06,2013-06-06 12:30:00,NA,0.12,0.372,0.082
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2013-05-30,2013-05-30 11:00:00,NA,NA,0.12,0.04
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2010-08-05,2010-08-05 12:20:00,NA,NA,0.03,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2014-06-30,2014-06-30 10:30:00,NA,0.01,NA,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2011-06-23,2011-06-23 10:35:00,NA,0.01,0.03,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2011-04-20,2011-04-20 11:10:00,NA,NA,0.11,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2018-08-08,2018-08-08 09:30:00,2.7,NA,0.047,0.029
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1997-04-14,1997-04-14 10:00:00,NA,NA,0.19,0.01
USGS CAWSC,USGS-11455478,38.093252,-121.7371772,2013-06-06,2013-06-06 12:00:00,NA,0.14,0.36,0.06
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2011-03-15,2011-03-15 10:35:00,NA,0.01,0.13,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2013-04-11,2013-04-11 11:00:00,NA,NA,0.15,0.03
USGS CAWSC,USGS-382006121401601,38.33500556,-121.6711083,2018-04-19,2018-04-19 15:09:00,2.7,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2013-06-26,2013-06-26 12:00:00,NA,0.01,0.06,0.03
USGS CAWSC,USGS-11455143,38.3354111,-121.658186,2018-04-26,2018-04-26 04:15:00,1.5,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2018-06-14,2018-06-14 09:30:00,3.2,NA,0.05,0.025
USGS CAWSC,USGS-11455143,38.3354111,-121.658186,2018-04-26,2018-04-26 04:17:00,1.6,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2020-05-19,2020-05-19 09:30:00,NA,NA,0.108,0.029
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2017-09-05,2017-09-05 11:30:00,3.5,NA,0.053,0.029
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2016-06-09,2016-06-09 11:00:00,NA,0.01,0.04,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2010-10-26,2010-10-26 12:45:00,NA,0.01,0.2,0.04
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2017-07-20,2017-07-20 09:30:00,4.8,NA,0.067,0.024
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2000-07-18,2000-07-18 11:00:00,NA,NA,NA,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2000-09-22,2000-09-22 11:00:00,NA,NA,0.07,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2014-10-16,2014-10-16 10:40:00,NA,0.01,0.04,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2014-05-28,2014-05-28 11:30:00,NA,0.01,NA,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2006-06-22,2006-06-22 10:00:00,NA,NA,0.06,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2009-05-21,2009-05-21 12:30:00,NA,NA,0.041,0.029
USGS CAWSC,USGS-382006121401601,38.33500556,-121.6711083,2019-04-17,2019-04-17 10:23:00,9.1,NA,NA,NA
USGS CAWSC,USGS-11455167,38.2903861,-121.662225,2018-04-20,2018-04-20 08:53:00,1.3,NA,NA,NA
USGS CAWSC,USGS-11455315,38.2430111,-121.684286,2013-06-06,2013-06-06 11:30:00,NA,0.1,0.38,0.08
USGS CAWSC,USGS-11455315,38.2430111,-121.684286,2014-03-10,2014-03-10 10:30:00,NA,0.17,0.67,0.08
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1999-09-14,1999-09-14 10:30:00,NA,NA,0.07,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2016-08-10,2016-08-10 11:00:00,NA,0.01,NA,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2000-10-24,2000-10-24 11:00:00,NA,0.02,0.09,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2001-07-31,2001-07-31 10:30:00,NA,NA,0.05,0.02
USGS CAWSC,USGS-382006121401601,38.33500556,-121.6711083,2018-04-19,2018-04-19 22:19:00,2.1,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2001-04-12,2001-04-12 14:00:00,NA,NA,0.12,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2020-06-30,2020-06-30 09:00:00,NA,NA,NA,0.022
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2014-04-15,2014-04-15 12:00:00,NA,0.01,0.05,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2004-09-27,2004-09-27 16:30:00,NA,NA,0.05,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2016-07-28,2016-07-28 10:00:00,NA,NA,NA,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2017-05-23,2017-05-23 13:30:00,NA,NA,NA,0.015
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2007-05-22,2007-05-22 11:20:00,NA,NA,0.06,0.02
USGS CAWSC,USGS-11455143,38.3354111,-121.658186,2018-04-20,2018-04-20 04:06:00,5.6,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2001-05-17,2001-05-17 13:00:00,NA,NA,0.1,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2016-06-22,2016-06-22 09:00:00,NA,0.01,0.06,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2018-05-30,2018-05-30 10:00:00,NA,NA,0.061,0.029
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2011-05-23,2011-05-23 13:00:00,NA,NA,0.06,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1999-08-05,1999-08-05 09:00:00,NA,NA,0.06,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2011-10-25,2011-10-25 11:30:00,NA,0.01,0.09,0.02
USGS CAWSC,USGS-382006121401601,38.33500556,-121.6711083,2018-04-20,2018-04-20 02:57:00,2.2,NA,NA,NA
USGS CAWSC,USGS-11455143,38.3354111,-121.658186,2018-04-19,2018-04-19 16:15:00,15,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2014-08-13,2014-08-13 12:00:00,NA,0.01,NA,0.03
USGS CAWSC,USGS-11455143,38.3354111,-121.658186,2018-04-19,2018-04-19 23:12:00,3,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2020-10-21,2020-10-21 10:00:00,NA,NA,NA,0.026
USGS CAWSC,USGS-11455167,38.2903861,-121.662225,2018-04-19,2018-04-19 16:49:00,5,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2003-05-20,2003-05-20 12:50:00,NA,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2000-06-27,2000-06-27 13:00:00,NA,0.02,0.05,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2004-06-24,2004-06-24 13:00:00,NA,NA,NA,0.02
USGS CAWSC,USGS-11455478,38.093252,-121.7371772,2013-06-06,2013-06-06 09:30:00,NA,0.1,0.41,0.07
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2020-09-30,2020-09-30 10:00:00,NA,NA,NA,0.028
USGS CAWSC,USGS-11455143,38.3354111,-121.658186,2018-04-19,2018-04-19 23:11:00,4.3,NA,NA,NA
USGS CAWSC,USGS-382006121401601,38.33500556,-121.6711083,2018-04-25,2018-04-25 20:38:00,2.1,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1998-05-21,1998-05-21 10:50:00,NA,0.06,0.16,0.01
USGS CAWSC,USGS-11455478,38.093252,-121.7371772,2013-06-06,2013-06-06 13:15:00,NA,0.12,0.39,0.07
USGS CAWSC,USGS-11455143,38.3354111,-121.658186,2018-04-20,2018-04-20 04:05:00,5.2,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2012-06-12,2012-06-12 11:05:00,NA,NA,0.04,0.02
USGS CAWSC,USGS-11455167,38.2903861,-121.662225,2018-04-26,2018-04-26 04:27:00,2.7,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2014-05-13,2014-05-13 10:30:00,NA,0.02,NA,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2013-10-23,2013-10-23 13:00:00,NA,0.01,0.07,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2017-06-07,2017-06-07 11:30:00,NA,NA,0.066,0.013
USGS CAWSC,USGS-11455143,38.3354111,-121.658186,2018-04-20,2018-04-20 09:21:00,2.8,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2018-05-10,2018-05-10 10:30:00,NA,0.01,0.048,0.023
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2005-07-21,2005-07-21 10:00:00,NA,NA,0.06,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2014-07-24,2014-07-24 10:00:00,NA,0.01,0.09,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2020-09-15,2020-09-15 10:00:00,NA,0.02,0.066,0.05
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2005-06-15,2005-06-15 11:30:00,NA,NA,0.05,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1999-04-09,1999-04-09 11:00:00,NA,NA,0.16,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1997-06-05,1997-06-05 10:30:00,NA,NA,0.12,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2005-08-11,2005-08-11 09:50:00,NA,NA,0.05,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2016-04-20,2016-04-20 11:30:00,NA,NA,0.06,0.01
USGS CAWSC,USGS-11455143,38.3354111,-121.658186,2018-04-25,2018-04-25 22:09:00,5.5,NA,NA,NA
USGS CAWSC,USGS-11455167,38.2903861,-121.662225,2018-04-20,2018-04-20 03:56:00,1.1,NA,NA,NA
USGS CAWSC,USGS-382006121401601,38.33500556,-121.6711083,2018-04-20,2018-04-20 02:59:00,2.4,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2021-03-18,2021-03-18 09:30:00,NA,0.02,0.057,0.031
USGS CAWSC,USGS-11455167,38.2903861,-121.662225,2018-04-26,2018-04-26 04:16:00,1.4,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1997-05-22,1997-05-22 11:00:00,NA,NA,0.09,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2015-06-16,2015-06-16 13:02:00,NA,0.02,NA,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2006-08-01,2006-08-01 11:50:00,NA,0.008,0.07,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2006-05-11,2006-05-11 11:00:00,NA,NA,0.06,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2015-08-31,2015-08-31 10:30:00,NA,0.02,NA,0.04
USGS CAWSC,USGS-11455143,38.3354111,-121.658186,2018-04-25,2018-04-25 22:10:00,3.4,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2004-10-18,2004-10-18 10:30:00,NA,NA,0.09,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2001-06-11,2001-06-11 12:20:00,NA,NA,0.07,0.02
USGS CAWSC,USGS-382006121401601,38.33500556,-121.6711083,2018-04-19,2018-04-19 22:20:00,2,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2006-06-06,2006-06-06 10:20:00,NA,0.01,0.09,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2006-04-25,2006-04-25 10:00:00,NA,0.02,0.08,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1999-10-08,1999-10-08 11:00:00,NA,NA,0.07,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2014-03-20,2014-03-20 11:00:00,NA,0.01,0.24,0.04
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2021-06-29,2021-06-29 10:00:00,NA,0.02,NA,0.025
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2021-05-26,2021-05-26 09:30:00,NA,0.02,NA,0.033
USGS CAWSC,USGS-11455315,38.2430111,-121.684286,2019-09-05,2019-09-05 11:45:00,1.05,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2007-03-28,2007-03-28 11:50:00,NA,NA,0.13,0.009
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2007-04-24,2007-04-24 12:30:00,NA,NA,0.12,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2007-06-19,2007-06-19 11:00:00,NA,NA,0.06,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2018-08-20,2018-08-20 10:30:00,1.7,0.01,NA,0.032
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2007-06-05,2007-06-05 11:50:00,NA,NA,0.07,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2015-05-19,2015-05-19 10:30:00,NA,0.02,0.09,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2005-04-07,2005-04-07 12:00:00,NA,NA,0.17,0.009
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2019-04-18,2019-04-18 09:30:00,NA,NA,0.083,0.028
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2007-05-08,2007-05-08 11:00:00,NA,0.01,0.1,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2007-07-02,2007-07-02 10:30:00,NA,NA,0.03,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2008-04-24,2008-04-24 11:50:00,NA,NA,0.1,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2015-04-09,2015-04-09 12:30:00,NA,0.02,0.09,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2006-10-12,2006-10-12 14:30:00,NA,0.01,0.12,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2008-10-29,2008-10-29 13:00:00,NA,0.01,0.087,0.04
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2008-06-18,2008-06-18 12:30:00,NA,NA,0.03,0.02
USGS CAWSC,USGS-11455143,38.3354111,-121.658186,2018-04-19,2018-04-19 16:16:00,11.9,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2021-04-21,2021-04-21 09:30:00,NA,0.04,NA,0.031
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2002-06-19,2002-06-19 12:20:00,NA,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2009-08-26,2009-08-26 11:30:00,NA,NA,NA,0.023
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2015-10-29,2015-10-29 10:30:00,NA,NA,0.09,0.03
USGS CAWSC,USGS-11455143,38.3354111,-121.658186,2018-04-19,2018-04-19 16:14:00,12.1,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2013-08-12,2013-08-12 13:30:00,NA,NA,NA,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2019-06-24,2019-06-24 09:30:00,1.9,NA,0.081,0.023
USGS CAWSC,USGS-382006121401601,38.33500556,-121.6711083,2018-04-18,2018-04-18 14:14:00,2.6,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2019-03-13,2019-03-13 11:30:00,NA,NA,0.153,0.039
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2019-05-09,2019-05-09 09:30:00,NA,NA,0.045,0.011
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2019-08-07,2019-08-07 10:20:00,NA,NA,0.076,0.025
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2021-05-05,2021-05-05 09:30:00,NA,0.03,0.058,0.039
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2019-10-09,2019-10-09 11:30:00,1.3,NA,NA,0.022
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2021-06-07,2021-06-07 10:00:00,NA,0.02,NA,0.03
USGS CAWSC,USGS-382006121401601,38.33500556,-121.6711083,2018-04-20,2018-04-20 09:45:00,3.2,NA,NA,NA
USGS CAWSC,USGS-11455315,38.2430111,-121.684286,2019-07-30,2019-07-30 11:40:00,1.93,NA,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2019-07-23,2019-07-23 14:10:00,2.3,NA,NA,NA
USGS CAWSC,USGS-11455167,38.2903861,-121.662225,2018-04-20,2018-04-20 03:47:00,1.1,NA,NA,NA
USGS CAWSC,USGS-11455167,38.2903861,-121.662225,2018-04-19,2018-04-19 17:02:00,5.4,NA,NA,NA
USGS CAWSC,USGS-11455167,38.2903861,-121.662225,2018-04-20,2018-04-20 09:08:00,1.2,NA,NA,NA
