date,agency_cd,site_no,water_year,flow,flow_cd,flow_11447905,group,flow_modeled,flow_impute,flow_for_gam_step1,flow_for_gam_step2,flow_for_gam_final
1999-04-17,USGS,11455420,1999,31100,A,13800,measure,30900,31100,31100,31100,31100
1999-04-18,USGS,11455420,1999,31900,A,13800,measure,30900,31900,31900,31900,31900
1999-04-19,USGS,11455420,1999,33600,A,13800,measure,30900,33600,33600,33600,33600
1999-04-20,USGS,11455420,1999,33400,A,13600,measure,30449,33400,33400,33400,33400
1999-04-21,USGS,11455420,1999,33100,A,13300,measure,29774,33100,33100,33100,33100
1999-04-22,USGS,11455420,1999,27700,A,13300,measure,29774,27700,27700,27700,27700
1999-04-23,USGS,11455420,1999,21700,A,12800,measure,28647,21700,21700,21700,21700
1999-04-24,USGS,11455420,1999,24000,A,11900,measure,26620,24000,24000,24000,24000
1999-04-25,USGS,11455420,1999,27600,A,11400,measure,25494,27600,27600,27600,27600
1999-04-26,USGS,11455420,1999,26900,A,10900,measure,24368,26900,26900,26900,26900
1999-04-27,USGS,11455420,1999,25300,A,10600,measure,23692,25300,25300,25300,25300
1999-04-28,USGS,11455420,1999,20400,A,10600,measure,23692,20400,20400,20400,20400
1999-04-29,USGS,11455420,1999,14600,A,10200,measure,22791,14600,14600,14600,14600
1999-04-30,USGS,11455420,1999,17900,A,9930,measure,22183,17900,17900,17900,17900
1999-05-01,USGS,11455420,1999,21200,A,9700,measure,21665,21200,21200,21200,21200
1999-05-02,USGS,11455420,1999,23000,A,9600,measure,21439,23000,23000,23000,23000
1999-05-03,USGS,11455420,1999,22800,A,9500,measure,21214,22800,22800,22800,22800
1999-05-04,USGS,11455420,1999,23600,A,9710,measure,21687,23600,23600,23600,23600
1999-05-05,USGS,11455420,1999,22000,A,9600,measure,21439,22000,22000,22000,22000
1999-05-06,USGS,11455420,1999,22500,A,9280,measure,20719,22500,22500,22500,22500
1999-05-07,USGS,11455420,1999,23200,A,8880,measure,19818,23200,23200,23200,23200
1999-05-08,USGS,11455420,1999,20900,A,8460,measure,18872,20900,20900,20900,20900
1999-05-09,USGS,11455420,1999,18000,A,8300,measure,18511,18000,18000,18000,18000
1999-05-10,USGS,11455420,1999,17100,A,8090,measure,18038,17100,17100,17100,17100
1999-05-11,USGS,11455420,1999,17000,A,7770,measure,17317,17000,17000,17000,17000
1999-05-12,USGS,11455420,1999,16800,A,7320,measure,16304,16800,16800,16800,16800
1999-05-13,USGS,11455420,1999,16500,A,7120,measure,15853,16500,16500,16500,16500
1999-05-14,USGS,11455420,1999,16200,A,6850,measure,15245,16200,16200,16200,16200
1999-05-15,USGS,11455420,1999,15200,A,6850,measure,15245,15200,15200,15200,15200
1999-05-16,USGS,11455420,1999,13800,A,6590,measure,14659,13800,13800,13800,13800
1999-05-17,USGS,11455420,1999,14200,A,6320,measure,14051,14200,14200,14200,14200
1999-05-18,USGS,11455420,1999,15600,A,6190,measure,13758,15600,15600,15600,15600
1999-05-19,USGS,11455420,1999,15300,A,6220,measure,13826,15300,15300,15300,15300
1999-05-20,USGS,11455420,1999,15400,A,6370,measure,14164,15400,15400,15400,15400
1999-05-21,USGS,11455420,1999,13000,A,6360,measure,14141,13000,13000,13000,13000
1999-05-22,USGS,11455420,1999,12700,A,6100,measure,13556,12700,12700,12700,12700
1999-05-23,USGS,11455420,1999,20000,A,6420,measure,14276,20000,20000,20000,20000
1999-05-24,USGS,11455420,1999,19900,A,6920,measure,15403,19900,19900,19900,19900
1999-05-25,USGS,11455420,1999,16100,A,6820,measure,15177,16100,16100,16100,16100
1999-05-26,USGS,11455420,1999,15000,A,6630,measure,14749,15000,15000,15000,15000
1999-05-27,USGS,11455420,1999,16000,A,6410,measure,14254,16000,16000,16000,16000
1999-05-28,USGS,11455420,1999,14500,A,5110,measure,11326,14500,14500,14500,14500
1999-05-29,USGS,11455420,1999,12300,A,4340,measure,9591,12300,12300,12300,12300
1999-05-30,USGS,11455420,1999,13300,A,4350,measure,9614,13300,13300,13300,13300
1999-05-31,USGS,11455420,1999,16400,A,4610,measure,10199,16400,16400,16400,16400
1999-06-01,USGS,11455420,1999,15500,A,4680,measure,10357,15500,15500,15500,15500
1999-06-02,USGS,11455420,1999,16300,A,4710,measure,10425,16300,16300,16300,16300
1999-06-03,USGS,11455420,1999,16900,A,4990,measure,11055,16900,16900,16900,16900
1999-06-04,USGS,11455420,1999,14000,A,4950,measure,10965,14000,14000,14000,14000
1999-06-05,USGS,11455420,1999,14500,A,5090,measure,11281,14500,14500,14500,14500
1999-06-06,USGS,11455420,1999,17100,A,5320,measure,11799,17100,17100,17100,17100
1999-06-07,USGS,11455420,1999,17700,A,5300,measure,11754,17700,17700,17700,17700
1999-06-08,USGS,11455420,1999,15200,A,4900,measure,10853,15200,15200,15200,15200
1999-06-09,USGS,11455420,1999,12700,A,4300,measure,9501,12700,12700,12700,12700
1999-06-10,USGS,11455420,1999,10800,A,3900,measure,8600,10800,10800,10800,10800
1999-06-11,USGS,11455420,1999,10200,A,3590,measure,7902,10200,10200,10200,10200
1999-06-12,USGS,11455420,1999,11700,A,3570,measure,7857,11700,11700,11700,11700
1999-06-13,USGS,11455420,1999,11700,A,3520,measure,7744,11700,11700,11700,11700
1999-06-14,USGS,11455420,1999,12000,A,3430,measure,7541,12000,12000,12000,12000
1999-06-15,USGS,11455420,1999,13300,A,3420,measure,7519,13300,13300,13300,13300
1999-06-16,USGS,11455420,1999,12900,A,3520,measure,7744,12900,12900,12900,12900
1999-06-17,USGS,11455420,1999,11500,A,3450,measure,7586,11500,11500,11500,11500
1999-06-18,USGS,11455420,1999,11800,A,3480,measure,7654,11800,11800,11800,11800
1999-06-19,USGS,11455420,1999,11400,A,3490,measure,7677,11400,11400,11400,11400
1999-06-20,USGS,11455420,1999,11200,A,3360,measure,7384,11200,11200,11200,11200
1999-06-21,USGS,11455420,1999,12100,A,3280,measure,7204,12100,12100,12100,12100
1999-06-22,USGS,11455420,1999,10400,A,3150,measure,6911,10400,10400,10400,10400
1999-06-23,USGS,11455420,1999,10200,A,3000,measure,6573,10200,10200,10200,10200
1999-06-24,USGS,11455420,1999,11600,A,3210,measure,7046,11600,11600,11600,11600
1999-06-25,USGS,11455420,1999,10600,A,3340,measure,7339,10600,10600,10600,10600
1999-06-26,USGS,11455420,1999,8940,A,3280,measure,7204,8940,8940,8940,8940
1999-06-27,USGS,11455420,1999,9300,A,3460,measure,7609,9300,9300,9300,9300
1999-06-28,USGS,11455420,1999,9040,A,3640,measure,8014,9040,9040,9040,9040
1999-06-29,USGS,11455420,1999,10100,A,3930,measure,8668,10100,10100,10100,10100
1999-06-30,USGS,11455420,1999,9430,A,4200,measure,9276,9430,9430,9430,9430
1999-07-01,USGS,11455420,1999,10900,A,4320,measure,9546,10900,10900,10900,10900
1999-07-02,USGS,11455420,1999,14400,A,4410,measure,9749,14400,14400,14400,14400
1999-07-03,USGS,11455420,1999,16300,A,4530,measure,10019,16300,16300,16300,16300
1999-07-04,USGS,11455420,1999,15400,A,4720,measure,10447,15400,15400,15400,15400
1999-07-05,USGS,11455420,1999,13000,A,4570,measure,10109,13000,13000,13000,13000
1999-07-06,USGS,11455420,1999,13700,A,4440,measure,9816,13700,13700,13700,13700
1999-07-07,USGS,11455420,1999,14300,A,4580,measure,10132,14300,14300,14300,14300
1999-07-08,USGS,11455420,1999,10800,A,4290,measure,9479,10800,10800,10800,10800
1999-07-09,USGS,11455420,1999,9950,A,4270,measure,9434,9950,9950,9950,9950
1999-07-10,USGS,11455420,1999,9820,A,4360,measure,9636,9820,9820,9820,9820
1999-07-11,USGS,11455420,1999,8870,A,4370,measure,9659,8870,8870,8870,8870
1999-07-12,USGS,11455420,1999,8460,A,4270,measure,9434,8460,8460,8460,8460
1999-07-13,USGS,11455420,1999,9360,A,4280,measure,9456,9360,9360,9360,9360
1999-07-14,USGS,11455420,1999,10700,A,4340,measure,9591,10700,10700,10700,10700
1999-07-15,USGS,11455420,1999,14200,A,4600,measure,10177,14200,14200,14200,14200
1999-07-16,USGS,11455420,1999,16700,A,4790,measure,10605,16700,16700,16700,16700
1999-07-17,USGS,11455420,1999,15600,A,4890,measure,10830,15600,15600,15600,15600
1999-07-18,USGS,11455420,1999,14800,A,4990,measure,11055,14800,14800,14800,14800
1999-07-19,USGS,11455420,1999,15900,A,5130,measure,11371,15900,15900,15900,15900
1999-07-20,USGS,11455420,1999,16000,A,5340,measure,11844,16000,16000,16000,16000
1999-07-21,USGS,11455420,1999,15200,A,5430,measure,12046,15200,15200,15200,15200
1999-07-22,USGS,11455420,1999,15300,A,5240,measure,11618,15300,15300,15300,15300
1999-07-23,USGS,11455420,1999,18200,A,5120,measure,11348,18200,18200,18200,18200
1999-07-24,USGS,11455420,1999,16000,A,5270,measure,11686,16000,16000,16000,16000
1999-07-25,USGS,11455420,1999,12400,A,5100,measure,11303,12400,12400,12400,12400
1999-07-26,USGS,11455420,1999,13000,A,5000,measure,11078,13000,13000,13000,13000
1999-07-27,USGS,11455420,1999,15700,A,5010,measure,11100,15700,15700,15700,15700
1999-07-28,USGS,11455420,1999,16900,A,5190,measure,11506,16900,16900,16900,16900
1999-07-29,USGS,11455420,1999,15800,A,5270,measure,11686,15800,15800,15800,15800
1999-07-30,USGS,11455420,1999,16600,A,5150,measure,11416,16600,16600,16600,16600
1999-07-31,USGS,11455420,1999,17600,A,5000,measure,11078,17600,17600,17600,17600
1999-08-01,USGS,11455420,1999,17900,A,5050,measure,11190,17900,17900,17900,17900
1999-08-02,USGS,11455420,1999,18400,A,5140,measure,11393,18400,18400,18400,18400
1999-08-03,USGS,11455420,1999,17300,A,5060,measure,11213,17300,17300,17300,17300
1999-08-04,USGS,11455420,1999,15400,A,4800,measure,10627,15400,15400,15400,15400
1999-08-05,USGS,11455420,1999,14000,A,4440,measure,9816,14000,14000,14000,14000
1999-08-06,USGS,11455420,1999,14000,A,4460,measure,9862,14000,14000,14000,14000
1999-08-07,USGS,11455420,1999,12100,A,4240,measure,9366,12100,12100,12100,12100
1999-08-08,USGS,11455420,1999,11500,A,3990,measure,8803,11500,11500,11500,11500
1999-08-09,USGS,11455420,1999,10500,A,3810,measure,8397,10500,10500,10500,10500
1999-08-10,USGS,11455420,1999,11500,A,3670,measure,8082,11500,11500,11500,11500
1999-08-11,USGS,11455420,1999,11800,A,3710,measure,8172,11800,11800,11800,11800
1999-08-12,USGS,11455420,1999,10100,A,3590,measure,7902,10100,10100,10100,10100
1999-08-13,USGS,11455420,1999,10200,A,3590,measure,7902,10200,10200,10200,10200
1999-08-14,USGS,11455420,1999,11000,A,3640,measure,8014,11000,11000,11000,11000
1999-08-15,USGS,11455420,1999,11100,A,3680,measure,8105,11100,11100,11100,11100
1999-08-16,USGS,11455420,1999,11100,A,3580,measure,7879,11100,11100,11100,11100
1999-08-17,USGS,11455420,1999,11900,A,3390,measure,7451,11900,11900,11900,11900
1999-08-18,USGS,11455420,1999,13200,A,3290,measure,7226,13200,13200,13200,13200
1999-08-19,USGS,11455420,1999,12900,A,3250,measure,7136,12900,12900,12900,12900
1999-08-20,USGS,11455420,1999,11800,A,3030,measure,6640,11800,11800,11800,11800
1999-08-21,USGS,11455420,1999,11200,A,3070,measure,6731,11200,11200,11200,11200
1999-08-22,USGS,11455420,1999,9240,A,3070,measure,6731,9240,9240,9240,9240
1999-08-23,USGS,11455420,1999,9290,A,3120,measure,6843,9290,9290,9290,9290
1999-08-24,USGS,11455420,1999,10200,A,3350,measure,7361,10200,10200,10200,10200
1999-08-25,USGS,11455420,1999,9630,A,3340,measure,7339,9630,9630,9630,9630
1999-08-26,USGS,11455420,1999,9530,A,3350,measure,7361,9530,9530,9530,9530
1999-08-27,USGS,11455420,1999,8910,A,3280,measure,7204,8910,8910,8910,8910
1999-08-28,USGS,11455420,1999,9930,A,3500,measure,7699,9930,9930,9930,9930
1999-08-29,USGS,11455420,1999,11000,A,3660,measure,8060,11000,11000,11000,11000
1999-08-30,USGS,11455420,1999,11600,A,3820,measure,8420,11600,11600,11600,11600
1999-08-31,USGS,11455420,1999,8760,A,3780,measure,8330,8760,8760,8760,8760
1999-09-01,USGS,11455420,1999,8090,A,3460,measure,7609,8090,8090,8090,8090
1999-09-02,USGS,11455420,1999,8110,A,3270,measure,7181,8110,8110,8110,8110
1999-09-03,USGS,11455420,1999,9040,A,3240,measure,7113,9040,9040,9040,9040
1999-09-04,USGS,11455420,1999,9120,A,3280,measure,7204,9120,9120,9120,9120
1999-09-05,USGS,11455420,1999,8490,A,3340,measure,7339,8490,8490,8490,8490
1999-09-06,USGS,11455420,1999,6790,A,3250,measure,7136,6790,6790,6790,6790
1999-09-07,USGS,11455420,1999,7910,A,3200,measure,7023,7910,7910,7910,7910
1999-09-08,USGS,11455420,1999,9840,A,3280,measure,7204,9840,9840,9840,9840
1999-09-09,USGS,11455420,1999,11500,A,3310,measure,7271,11500,11500,11500,11500
1999-09-10,USGS,11455420,1999,12200,A,3330,measure,7316,12200,12200,12200,12200
1999-09-11,USGS,11455420,1999,12600,A,3430,measure,7541,12600,12600,12600,12600
1999-09-12,USGS,11455420,1999,13600,A,3550,measure,7812,13600,13600,13600,13600
1999-09-13,USGS,11455420,1999,14100,A,3420,measure,7519,14100,14100,14100,14100
1999-09-14,USGS,11455420,1999,13400,A,3190,measure,7001,13400,13400,13400,13400
1999-09-15,USGS,11455420,1999,12000,A,3190,measure,7001,12000,12000,12000,12000
1999-09-16,USGS,11455420,1999,11300,A,3190,measure,7001,11300,11300,11300,11300
1999-09-17,USGS,11455420,1999,12100,A,3090,measure,6776,12100,12100,12100,12100
1999-09-18,USGS,11455420,1999,13600,A,3150,measure,6911,13600,13600,13600,13600
1999-09-19,USGS,11455420,1999,16800,A,3370,measure,7406,16800,16800,16800,16800
1999-09-20,USGS,11455420,1999,14700,A,3570,measure,7857,14700,14700,14700,14700
1999-09-21,USGS,11455420,1999,10700,A,3320,measure,7294,10700,10700,10700,10700
1999-09-22,USGS,11455420,1999,9950,A,3190,measure,7001,9950,9950,9950,9950
1999-09-23,USGS,11455420,1999,9070,A,3150,measure,6911,9070,9070,9070,9070
1999-09-24,USGS,11455420,1999,9640,A,3140,measure,6888,9640,9640,9640,9640
1999-09-25,USGS,11455420,1999,10600,A,3150,measure,6911,10600,10600,10600,10600
1999-09-26,USGS,11455420,1999,8240,A,3080,measure,6753,8240,8240,8240,8240
1999-09-27,USGS,11455420,1999,6190,A,3040,measure,6663,6190,6190,6190,6190
1999-09-28,USGS,11455420,1999,6720,A,3050,measure,6685,6720,6720,6720,6720
1999-09-29,USGS,11455420,1999,7330,A,3100,measure,6798,7330,7330,7330,7330
1999-09-30,USGS,11455420,1999,6010,A,3030,measure,6640,6010,6010,6010,6010
1999-10-01,USGS,11455420,2000,6390,A,2910,measure,6370,6390,6390,6390,6390
1999-10-02,USGS,11455420,2000,9070,A,2920,measure,6393,9070,9070,9070,9070
1999-10-03,USGS,11455420,2000,11300,A,3050,measure,6685,11300,11300,11300,11300
1999-10-04,USGS,11455420,2000,10200,A,2970,measure,6505,10200,10200,10200,10200
1999-10-05,USGS,11455420,2000,8820,A,2900,measure,6348,8820,8820,8820,8820
1999-10-06,USGS,11455420,2000,8130,A,2890,measure,6325,8130,8130,8130,8130
1999-10-07,USGS,11455420,2000,7220,A,3000,measure,6573,7220,7220,7220,7220
1999-10-08,USGS,11455420,2000,6260,A,2960,measure,6483,6260,6260,6260,6260
1999-10-09,USGS,11455420,2000,6240,A,2960,measure,6483,6240,6240,6240,6240
1999-10-10,USGS,11455420,2000,6480,A,2940,measure,6438,6480,6480,6480,6480
1999-10-11,USGS,11455420,2000,6920,A,2860,measure,6258,6920,6920,6920,6920
1999-10-12,USGS,11455420,2000,7680,A,2930,measure,6415,7680,7680,7680,7680
1999-10-13,USGS,11455420,2000,6470,A,2760,measure,6032,6470,6470,6470,6470
1999-10-14,USGS,11455420,2000,5700,A,2540,measure,5537,5700,5700,5700,5700
1999-10-15,USGS,11455420,2000,3350,A,2600,measure,5672,3350,3350,3350,3350
1999-10-16,USGS,11455420,2000,2440,A,2630,measure,5739,2440,2440,2440,2440
1999-10-17,USGS,11455420,2000,5220,A,2370,measure,5154,5220,5220,5220,5220
1999-10-18,USGS,11455420,2000,6880,A,2310,measure,5019,6880,6880,6880,6880
1999-10-19,USGS,11455420,2000,7240,A,2380,measure,5176,7240,7240,7240,7240
1999-10-20,USGS,11455420,2000,5950,A,2320,measure,5041,5950,5950,5950,5950
1999-10-21,USGS,11455420,2000,5030,A,2220,measure,4816,5030,5030,5030,5030
1999-10-22,USGS,11455420,2000,4980,A,2060,measure,4456,4980,4980,4980,4980
1999-10-23,USGS,11455420,2000,7460,A,2080,measure,4501,7460,7460,7460,7460
1999-10-24,USGS,11455420,2000,7810,A,2290,measure,4974,7810,7810,7810,7810
1999-10-25,USGS,11455420,2000,6230,A,2190,measure,4748,6230,6230,6230,6230
1999-10-26,USGS,11455420,2000,5720,A,2100,measure,4546,5720,5720,5720,5720
1999-10-27,USGS,11455420,2000,6700,A,2200,measure,4771,6700,6700,6700,6700
1999-10-28,USGS,11455420,2000,8410,A,2450,measure,5334,8410,8410,8410,8410
1999-10-29,USGS,11455420,2000,9050,A,2640,measure,5762,9050,9050,9050,9050
1999-10-30,USGS,11455420,2000,8710,A,2650,measure,5784,8710,8710,8710,8710
1999-10-31,USGS,11455420,2000,7540,A,2650,measure,5784,7540,7540,7540,7540
1999-11-01,USGS,11455420,2000,7390,A,2610,measure,5694,7390,7390,7390,7390
1999-11-02,USGS,11455420,2000,7600,A,2470,measure,5379,7600,7600,7600,7600
1999-11-03,USGS,11455420,2000,8620,A,2460,measure,5357,8620,8620,8620,8620
1999-11-04,USGS,11455420,2000,7330,A,2400,measure,5221,7330,7330,7330,7330
1999-11-05,USGS,11455420,2000,6880,A,2320,measure,5041,6880,6880,6880,6880
1999-11-06,USGS,11455420,2000,7330,A,2350,measure,5109,7330,7330,7330,7330
1999-11-07,USGS,11455420,2000,5540,A,2380,measure,5176,5540,5540,5540,5540
1999-11-08,USGS,11455420,2000,8420,A,2660,measure,5807,8420,8420,8420,8420
1999-11-09,USGS,11455420,2000,8850,A,2780,measure,6077,8850,8850,8850,8850
1999-11-10,USGS,11455420,2000,8260,A,2790,measure,6100,8260,8260,8260,8260
1999-11-11,USGS,11455420,2000,9170,A,2970,measure,6505,9170,9170,9170,9170
1999-11-12,USGS,11455420,2000,9500,A,3110,measure,6821,9500,9500,9500,9500
1999-11-13,USGS,11455420,2000,9020,A,3130,measure,6866,9020,9020,9020,9020
1999-11-14,USGS,11455420,2000,8860,A,3120,measure,6843,8860,8860,8860,8860
1999-11-15,USGS,11455420,2000,10600,A,3280,measure,7204,10600,10600,10600,10600
1999-11-16,USGS,11455420,2000,9730,A,3170,measure,6956,9730,9730,9730,9730
1999-11-17,USGS,11455420,2000,11300,A,3310,measure,7271,11300,11300,11300,11300
1999-11-18,USGS,11455420,2000,9340,A,3160,measure,6933,9340,9340,9340,9340
1999-11-19,USGS,11455420,2000,8150,A,3090,measure,6776,8150,8150,8150,8150
1999-11-20,USGS,11455420,2000,9500,A,3320,measure,7294,9500,9500,9500,9500
1999-11-21,USGS,11455420,2000,9500,A,3460,measure,7609,9500,9500,9500,9500
1999-11-22,USGS,11455420,2000,8440,A,3530,measure,7767,8440,8440,8440,8440
1999-11-23,USGS,11455420,2000,8530,A,3550,measure,7812,8530,8530,8530,8530
1999-11-24,USGS,11455420,2000,9030,A,3470,measure,7632,9030,9030,9030,9030
1999-11-25,USGS,11455420,2000,8760,A,3500,measure,7699,8760,8760,8760,8760
1999-11-26,USGS,11455420,2000,9620,A,4310,measure,9524,9620,9620,9620,9620
1999-11-27,USGS,11455420,2000,12200,A,5250,measure,11641,12200,12200,12200,12200
1999-11-28,USGS,11455420,2000,13100,A,5290,measure,11731,13100,13100,13100,13100
1999-11-29,USGS,11455420,2000,12600,A,5200,measure,11528,12600,12600,12600,12600
1999-11-30,USGS,11455420,2000,13900,A,5390,measure,11956,13900,13900,13900,13900
1999-12-01,USGS,11455420,2000,15000,A,5780,measure,12835,15000,15000,15000,15000
1999-12-02,USGS,11455420,2000,14600,A,6300,measure,14006,14600,14600,14600,14600
1999-12-03,USGS,11455420,2000,13200,A,6900,measure,15358,13200,13200,13200,13200
1999-12-04,USGS,11455420,2000,13300,A,6870,measure,15290,13300,13300,13300,13300
1999-12-05,USGS,11455420,2000,13100,A,6640,measure,14772,13100,13100,13100,13100
1999-12-06,USGS,11455420,2000,13500,A,6380,measure,14186,13500,13500,13500,13500
1999-12-07,USGS,11455420,2000,15200,A,6350,measure,14119,15200,15200,15200,15200
1999-12-08,USGS,11455420,2000,14700,A,6280,measure,13961,14700,14700,14700,14700
1999-12-09,USGS,11455420,2000,13700,A,6140,measure,13646,13700,13700,13700,13700
1999-12-10,USGS,11455420,2000,12700,A,6370,measure,14164,12700,12700,12700,12700
1999-12-11,USGS,11455420,2000,14200,A,6650,measure,14794,14200,14200,14200,14200
1999-12-12,USGS,11455420,2000,14800,A,6730,measure,14975,14800,14800,14800,14800
1999-12-13,USGS,11455420,2000,15000,A,6730,measure,14975,15000,15000,15000,15000
1999-12-14,USGS,11455420,2000,14600,A,6420,measure,14276,14600,14600,14600,14600
1999-12-15,USGS,11455420,2000,13600,A,5340,measure,11844,13600,13600,13600,13600
1999-12-16,USGS,11455420,2000,11500,A,4240,measure,9366,11500,11500,11500,11500
1999-12-17,USGS,11455420,2000,10500,A,3960,measure,8735,10500,10500,10500,10500
1999-12-18,USGS,11455420,2000,9150,A,3780,measure,8330,9150,9150,9150,9150
1999-12-19,USGS,11455420,2000,8980,A,3670,measure,8082,8980,8980,8980,8980
1999-12-20,USGS,11455420,2000,8330,A,3520,measure,7744,8330,8330,8330,8330
1999-12-21,USGS,11455420,2000,7000,A,3380,measure,7429,7000,7000,7000,7000
1999-12-22,USGS,11455420,2000,8360,A,3400,measure,7474,8360,8360,8360,8360
1999-12-23,USGS,11455420,2000,9740,A,3420,measure,7519,9740,9740,9740,9740
1999-12-24,USGS,11455420,2000,9540,A,3450,measure,7586,9540,9540,9540,9540
1999-12-25,USGS,11455420,2000,9090,A,3380,measure,7429,9090,9090,9090,9090
1999-12-26,USGS,11455420,2000,9820,A,3390,measure,7451,9820,9820,9820,9820
1999-12-27,USGS,11455420,2000,10400,A,3470,measure,7632,10400,10400,10400,10400
