organization_identifier,organization_formal_name,activity_identifier,activity_type_code,activity_media_name,activity_media_subdivision_name,activity_start_date,activity_start_time_time,activity_start_time_time_zone_code,activity_end_date,activity_end_time_time,activity_end_time_time_zone_code,activity_depth_height_measure_measure_value,activity_depth_height_measure_measure_unit_code,activity_depth_altitude_reference_point_text,activity_top_depth_height_measure_measure_value,activity_top_depth_height_measure_measure_unit_code,activity_bottom_depth_height_measure_measure_value,activity_bottom_depth_height_measure_measure_unit_code,project_identifier,activity_conducting_organization_text,monitoring_location_identifier,activity_comment_text,sample_aquifer,hydrologic_condition,hydrologic_event,sample_collection_method_method_identifier,sample_collection_method_method_identifier_context,sample_collection_method_method_name,sample_collection_equipment_name,result_detection_condition_text,characteristic_name,result_sample_fraction_text,result_measure_value,result_measure_measure_unit_code,measure_qualifier_code,result_status_identifier,statistical_base_code,result_value_type_name,result_weight_basis_text,result_time_basis_text,result_temperature_basis_text,result_particle_size_basis_text,precision_value,result_comment_text,usgsp_code,result_depth_height_measure_measure_value,result_depth_height_measure_measure_unit_code,result_depth_altitude_reference_point_text,subject_taxonomic_name,sample_tissue_anatomy_name,result_analytical_method_method_identifier,result_analytical_method_method_identifier_context,result_analytical_method_method_name,method_description_text,laboratory_name,analysis_start_date,result_laboratory_comment_text,detection_quantitation_limit_type_name,detection_quantitation_limit_measure_measure_value,detection_quantitation_limit_measure_measure_unit_code,preparation_start_date,provider_name,activity_start_date_time,activity_end_date_time
USGS-CA,USGS California Water Science Center,nwisca.01.98701017,Sample-Routine,Water,Surface Water,1987-06-22,10:15:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.11,mg/l as N,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00631,NA,NA,NA,NA,NA,CL045,USGS,"NO2+NO3, wf, Cd reduction ASF","USGS OF 93-125, p 157",NA,NA,NA,NA,NA,NA,NA,NWIS,1987-06-22T17:15:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.98601108,Sample-Routine,Water,Surface Water,1986-06-10,09:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Nitrite,Dissolved,NA,NA,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00613,NA,NA,NA,NA,NA,CL040,USGS,"Nitrite, wf, ASF diazotization","USGS OF 93-125, p 143",NA,NA,NA,Historical Lower Reporting Limit,0.01,mg/l as N,NA,NWIS,1986-06-10T16:30:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.00100100,Sample-Routine,Water,Surface Water,2000-10-24,11:00:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,A-2990038 sac nawqa mvjohnson,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Ammonia and ammonium,Dissolved,0.02,mg/l as N,NA,Accepted,NA,Estimated,NA,NA,NA,NA,NA,NA,00608,NA,NA,NA,NA,NA,CL037,USGS,"Nutrients, wf, salicylate color","USGS OF 93-125, p 125",NA,NA,NA,NA,NA,NA,NA,NWIS,2000-10-24T18:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.98701597,Sample-Routine,Water,Surface Water,1987-09-01,11:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Nitrite,Dissolved,NA,NA,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00613,NA,NA,NA,NA,NA,CL040,USGS,"Nitrite, wf, ASF diazotization","USGS OF 93-125, p 143",NA,NA,NA,Historical Lower Reporting Limit,0.01,mg/l as N,NA,NWIS,1987-09-01T18:30:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.99401990,Sample-Routine,Water,Surface Water,1994-09-14,10:00:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,20,USGS parameter code 82398,Equal discharge increment (edi),"Sampler, US P-72",NA,Ammonia and ammonium,Dissolved,0.02,mg/l as N,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00608,NA,NA,NA,NA,NA,CL035,USGS,"Ammonia, wf, ASF salicylate","USGS OF 93-125, p 125",NA,NA,NA,NA,NA,NA,NA,NWIS,1994-09-14T17:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.99800020,Sample-Routine,Water,Surface Water,1997-10-23,11:00:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Ammonia and ammonium,Dissolved,0.02,mg/l as N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00608,NA,NA,NA,NA,NA,CL037,USGS,"Nutrients, wf, salicylate color","USGS OF 93-125, p 125",NA,NA,NA,NA,NA,NA,NA,NWIS,1997-10-23T18:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.98701323,Sample-Routine,Water,Surface Water,1987-07-24,09:00:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.36,mg/l as N,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00631,NA,NA,NA,NA,NA,CL045,USGS,"NO2+NO3, wf, Cd reduction ASF","USGS OF 93-125, p 157",NA,NA,NA,NA,NA,NA,NA,NWIS,1987-07-24T16:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.99700522,Sample-Routine,Water,Surface Water,1997-04-14,10:00:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Nitrite,Dissolved,NA,NA,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00613,NA,NA,NA,NA,NA,CL041,USGS,"Nutrients, wf, colorimetric","USGS OF 93-125, p 143",NA,NA,NA,Historical Lower Reporting Limit,0.01,mg/l as N,NA,NWIS,1997-04-14T17:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.98701017,Sample-Routine,Water,Surface Water,1987-06-22,10:15:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Orthophosphate,Dissolved,0.03,mg/l as P,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,CL054,USGS,"Ortho-PO4, wf, ASF phosphomolybd","USGS OF 93-125, p 197",NA,NA,NA,NA,NA,NA,NA,NWIS,1987-06-22T17:15:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.98601108,Sample-Routine,Water,Surface Water,1986-06-10,09:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.13,mg/l as N,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00631,NA,NA,NA,NA,NA,CL045,USGS,"NO2+NO3, wf, Cd reduction ASF","USGS OF 93-125, p 157",NA,NA,NA,NA,NA,NA,NA,NWIS,1986-06-10T16:30:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.98600299,Sample-Routine,Water,Surface Water,1985-10-22,10:40:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Orthophosphate,Dissolved,0.02,mg/l as P,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,CL054,USGS,"Ortho-PO4, wf, ASF phosphomolybd","USGS OF 93-125, p 197",NA,NA,NA,NA,NA,NA,NA,NWIS,1985-10-22T17:40:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.98701323,Sample-Routine,Water,Surface Water,1987-07-24,09:00:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Orthophosphate,Dissolved,0.02,mg/l as P,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,CL054,USGS,"Ortho-PO4, wf, ASF phosphomolybd","USGS OF 93-125, p 197",NA,NA,NA,NA,NA,NA,NA,NWIS,1987-07-24T16:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.99700522,Sample-Routine,Water,Surface Water,1997-04-14,10:00:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.19,mg/l as N,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00631,NA,NA,NA,NA,NA,CL048,USGS,"Nutrients, wf, Cd reduct, color","USGS OF 93-125, p 157",NA,NA,NA,NA,NA,NA,NA,NWIS,1997-04-14T17:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01103636,Sample-Routine,Water,Surface Water,2011-04-20,11:15:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,"A-1110111 70mL passed through each TPCN filter, Total 210mL",NA,"Stable, normal stage",Routine sample,10.00,USGS parameter code 82398,Equal width increment (ewi),US D-96 bag sampler,NA,Nitrite,Dissolved,0.002,mg/l as N,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00613,NA,NA,NA,NA,NA,DZ001,USGS,"Nitrite, wf, DA, diazo",NA,"USGS-National Water Quality Lab, Denver, CO",2011-04-25,NA,Long Term Method Detection Level,0.001,mg/l as N,NA,NWIS,2011-04-20T18:15:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.98700046,Sample-Routine,Water,Surface Water,1986-10-20,11:45:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,"RERUNS:OUT OF H2O FOR RERUN ON MO,T",NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Ammonia and ammonium,Dissolved,NA,NA,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00608,NA,NA,NA,NA,NA,CL035,USGS,"Ammonia, wf, ASF salicylate","USGS OF 93-125, p 125",NA,NA,NA,Historical Lower Reporting Limit,0.01,mg/l as N,NA,NWIS,1986-10-20T18:45:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.00001426,Sample-Routine,Water,Surface Water,2000-07-18,11:00:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,A-2160029 sjr nawqa mvjohnson,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Inorganic nitrogen (nitrate and nitrite),Dissolved,NA,NA,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00631,NA,NA,NA,NA,NA,CL048,USGS,"Nutrients, wf, Cd reduct, color","USGS OF 93-125, p 157",NA,NA,NA,Historical Lower Reporting Limit,0.05,mg/l as N,NA,NWIS,2000-07-18T18:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.98700046,Sample-Routine,Water,Surface Water,1986-10-20,11:45:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,"RERUNS:OUT OF H2O FOR RERUN ON MO,T",NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.11,mg/l as N,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00631,NA,NA,NA,NA,NA,CL045,USGS,"NO2+NO3, wf, Cd reduction ASF","USGS OF 93-125, p 157",NA,NA,NA,NA,NA,NA,NA,NWIS,1986-10-20T18:45:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.00401347,Sample-Routine,Water,Surface Water,2004-05-27,13:20:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,L-1530085 recvd 5-29-04,NA,"Stable, normal stage",Routine sample,20.00,USGS parameter code 82398,Equal discharge increment (edi),"Sampler, US D-77",NA,Orthophosphate,Dissolved,0.02,mg/l as P,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,CL057,USGS,"Nutrients, LL, wf, phosphomolybd","USGS OF 93-125, p 191",NA,2004-06-04,NA,Laboratory Reporting Level,0.006,mg/l as P,NA,NWIS,2004-05-27T20:20:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01202048,Sample-Routine,Water,Surface Water,2012-03-15,12:35:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,arrived at lab 10-25-12,NA,"Stable, normal stage",Routine sample,10.00,USGS parameter code 82398,Equal width increment (ewi),US D-96 bag sampler,NA,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.11,mg/l as N,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00631,NA,NA,NA,NA,NA,RED02,USGS,"NO3+NO2, wf, FCC,NaR, DA, LL",USGS TMR 5-B8,"USGS-National Water Quality Lab, Denver, CO",2012-03-20,NA,Estimated Detection Level,0.01,mg/l as N,NA,NWIS,2012-03-15T19:35:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01305108,Sample-Routine,Water,Surface Water,2013-06-06,13:45:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,NA,NA,Not determined,Routine sample,50.00,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Orthophosphate,Dissolved,0.082,mg/l as P,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)","Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2013-06-12,NA,Long Term Method Detection Level,0.004,mg/l as P,NA,NWIS,2013-06-06T20:45:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.99900739,Sample-Routine,Water,Surface Water,1999-06-04,11:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Orthophosphate,Dissolved,0.05,mg/l as P,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,CL053,USGS,"Nutrients, wf, phosphomolybdate","USGS OF 93-125, p 197",NA,NA,NA,NA,NA,NA,NA,NWIS,1999-06-04T18:30:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.98700971,Sample-Routine,Water,Surface Water,1987-06-10,14:20:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-11447650,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Orthophosphate,Dissolved,0.02,mg/l as P,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00671,NA,NA,NA,NA,NA,CL054,USGS,"Ortho-PO4, wf, ASF phosphomolybd","USGS OF 93-125, p 197",NA,NA,NA,NA,NA,NA,NA,NWIS,1987-06-10T21:20:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01106083,Sample-Routine,Water,Surface Water,2011-07-05,11:30:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11447650,"L-1870034 Lab codes not indicated as add or delete   LC's added, ACK",NA,"Stable, normal stage",Routine sample,40.00,USGS parameter code 82398,Multiple verticals,US D-96 bag sampler,NA,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.07,mg/l as N,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00631,NA,NA,NA,NA,NA,CL048,USGS,"Nutrients, wf, Cd reduct, color","USGS OF 93-125, p 157","USGS-National Water Quality Lab, Denver, CO",2011-07-18,NA,Long Term Method Detection Level,0.02,mg/l as N,NA,NWIS,2011-07-05T18:30:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.00000961,Sample-Routine,Water,Surface Water,2000-04-24,11:40:00,PDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-11447650,A-1190119 nawqa (sacto) m.v. johnson,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Nitrite,Dissolved,NA,NA,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00613,NA,NA,NA,NA,NA,CL041,USGS,"Nutrients, wf, colorimetric","USGS OF 93-125, p 143",NA,NA,NA,Historical Lower Reporting Limit,0.01,mg/l as N,NA,NWIS,2000-04-24T18:40:00Z,NA
