organization_identifier,organization_formal_name,activity_identifier,activity_type_code,activity_media_name,activity_media_subdivision_name,activity_start_date,activity_start_time_time,activity_start_time_time_zone_code,activity_end_date,activity_end_time_time,activity_end_time_time_zone_code,activity_depth_height_measure_measure_value,activity_depth_height_measure_measure_unit_code,activity_depth_altitude_reference_point_text,activity_top_depth_height_measure_measure_value,activity_top_depth_height_measure_measure_unit_code,activity_bottom_depth_height_measure_measure_value,activity_bottom_depth_height_measure_measure_unit_code,project_identifier,activity_conducting_organization_text,monitoring_location_identifier,activity_comment_text,sample_aquifer,hydrologic_condition,hydrologic_event,sample_collection_method_method_identifier,sample_collection_method_method_identifier_context,sample_collection_method_method_name,sample_collection_equipment_name,result_detection_condition_text,characteristic_name,result_sample_fraction_text,result_measure_value,result_measure_measure_unit_code,measure_qualifier_code,result_status_identifier,statistical_base_code,result_value_type_name,result_weight_basis_text,result_time_basis_text,result_temperature_basis_text,result_particle_size_basis_text,precision_value,result_comment_text,usgsp_code,result_depth_height_measure_measure_value,result_depth_height_measure_measure_unit_code,result_depth_altitude_reference_point_text,subject_taxonomic_name,sample_tissue_anatomy_name,result_analytical_method_method_identifier,result_analytical_method_method_identifier_context,result_analytical_method_method_name,method_description_text,laboratory_name,analysis_start_date,result_laboratory_comment_text,detection_quantitation_limit_type_name,detection_quantitation_limit_measure_measure_value,detection_quantitation_limit_measure_measure_unit_code,preparation_start_date,provider_name,activity_start_date_time,activity_end_date_time
USGS-CA,USGS California Water Science Center,nwisca.01.01606730,Sample-Routine,Water,Surface Water,2016-09-29,09:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,1.3,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,The holding time for the processing of this sample has been exceeded,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-10-28,holding time exceededsee result comment,Lower Reporting Limit,0.1,ug/l,2016-10-28,NWIS,2016-09-29T17:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01601675,Quality Control Sample-Field Replicate,Water,Surface Water,2016-02-09,08:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,A-0550115 volume = 150 mL,NA,"Stable, normal stage",Routine sample,50.00,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,1.4,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-02-19,NA,Lower Reporting Limit,0.1,ug/l,2016-02-19,NWIS,2016-02-09T16:45:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01700042,Sample-Routine,Water,Surface Water,2016-10-12,11:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,1.1,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-11-03,NA,Lower Reporting Limit,0.1,ug/l,2016-11-03,NWIS,2016-10-12T19:15:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01604156,Sample-Routine,Water,Surface Water,2016-05-25,14:25:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,L-1530013 X=no station id on bottle,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,8.2,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,Value or metadata reloaded per NWQL Rapi-Note 16-19,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-06-16,see result comment,Lower Reporting Limit,0.1,ug/l,2016-06-16,NWIS,2016-05-25T22:25:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01700903,Sample-Routine,Water,Surface Water,2016-12-15,08:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,NA,NA,"Stable, normal stage",Routine sample,50.00,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,1.6,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-12-22,NA,Lower Reporting Limit,0.1,ug/l,2016-12-22,NWIS,2016-12-15T16:45:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01602753,Sample-Routine,Water,Surface Water,2016-04-05,11:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,A-1050003 Volume filt =300mL,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,8.5,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,Value or metadata reloaded per NWQL Rapi-Note 16-19,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-04-22,see result comment,Lower Reporting Limit,0.1,ug/l,2016-04-22,NWIS,2016-04-05T19:15:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01605603,Sample-Routine,Water,Surface Water,2016-07-26,08:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,5.5,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-08-16,NA,Lower Reporting Limit,0.1,ug/l,2016-08-16,NWIS,2016-07-26T16:45:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01604904,Sample-Routine,Water,Surface Water,2016-06-16,08:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,27.4,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,The holding time for the processing of this sample has been exceeded,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-07-15,holding time exceededsample was dilutedsee result comment,Lower Reporting Limit,0.1,ug/l,2016-07-15,NWIS,2016-06-16T16:15:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01607570,Sample-Routine,Water,Surface Water,2016-05-06,13:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,"""L-1390056 X=no sta id.  Changed station I.D. to """"Station 5"""" per Stumpner. 5/23/2016 mec. Updated SID, User Code and Station Name from Station 5/BCA/Station 5 per S. Gosselink. JPC 9/7/17  Changed Station I.D. to """"Station 5"""" per Stumpner.  Deleted FCC lab codes - No FCC received. 5/23/2016 mec.",NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,38.3,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-05-26,sample was diluted,Lower Reporting Limit,0.1,ug/l,2016-05-26,NWIS,2016-05-06T21:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01601784,Sample-Routine,Water,Surface Water,2016-02-18,10:45:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,A-0630006 vol = 300 mL,NA,"Stable, normal stage",Routine sample,50.00,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,1.7,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-03-11,NA,Lower Reporting Limit,0.1,ug/l,2016-03-11,NWIS,2016-02-18T18:45:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01604936,Sample-Routine,Water,Surface Water,2016-06-28,10:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,L-1880025 X=no sta id on sample,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Chlorophyll a,NA,9.4,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-07-15,sample was diluted,Lower Reporting Limit,0.1,ug/l,2016-07-15,NWIS,2016-06-28T18:15:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01601145,Quality Control Sample-Field Replicate,Water,Surface Water,2016-01-21,09:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,A-0270004 volume = 100 mL,NA,"Stable, normal stage",Routine sample,50.00,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,2.5,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-02-11,NA,Lower Reporting Limit,0.1,ug/l,2016-02-11,NWIS,2016-01-21T17:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01700489,Sample-Routine,Water,Surface Water,2016-11-14,15:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,NA,NA,"Stable, normal stage",Routine sample,50.00,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,1.8,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-12-01,NA,Lower Reporting Limit,0.1,ug/l,2016-12-01,NWIS,2016-11-14T23:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01604151,Sample-Routine,Water,Surface Water,2016-05-24,10:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,3.7,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,Value or metadata reloaded per NWQL Rapi-Note 16-19,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-06-16,see result comment,Lower Reporting Limit,0.1,ug/l,2016-06-16,NWIS,2016-05-24T18:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01604745,Sample-Routine,Water,Surface Water,2016-06-08,07:30:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,"""L-1680096 FED EX LATE DELIVERY   X=ok to log in per S. Gosslink  Received June 20, 2016 Chilled containers received warm at 18.8  Degrees C""",NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,2.3,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,Value or metadata reloaded per NWQL Rapi-Note 16-19,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-06-24,see result comment,Lower Reporting Limit,0.1,ug/l,2016-06-24,NWIS,2016-06-08T15:30:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01604157,Sample-Routine,Water,Surface Water,2016-05-25,16:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,L-1530015 X=no station id on bottle,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Chlorophyll a,NA,8.8,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,Value or metadata reloaded per NWQL Rapi-Note 16-19,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-06-16,see result comment,Lower Reporting Limit,0.1,ug/l,2016-06-16,NWIS,2016-05-26T00:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01604750,Sample-Routine,Water,Surface Water,2016-06-09,14:20:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,"L-1680103 FED EX LATE DELIVERY    X=ok'd to log in per sgosselink   Received June 20, 2016   Chilled containers received warm at 18.8  Degrees C",NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Chlorophyll a,NA,7.4,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,Value or metadata reloaded per NWQL Rapi-Note 16-19,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-06-23,see result comment,Lower Reporting Limit,0.1,ug/l,2016-06-23,NWIS,2016-06-09T22:20:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01604751,Quality Control Sample-Field Replicate,Water,Surface Water,2016-06-09,15:55:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,"L-1680105 FED EX LATE DELIVERY    X=ok'd to log in per sgosselink  Received June 20, 2016   Chilled containers received warm at 18.8  Degrees C",NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Chlorophyll a,NA,8.6,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,Value or metadata reloaded per NWQL Rapi-Note 16-19,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-06-23,see result comment,Lower Reporting Limit,0.1,ug/l,2016-06-23,NWIS,2016-06-09T23:55:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01604935,Sample-Routine,Water,Surface Water,2016-06-28,08:40:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Chlorophyll a,NA,6.8,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-07-15,NA,Lower Reporting Limit,0.1,ug/l,2016-07-15,NWIS,2016-06-28T16:40:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01700571,Sample-Routine,Water,Surface Water,2016-11-17,09:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,L-3340006 FED EX LATE DELIVERY,NA,"Stable, normal stage",Routine sample,50.00,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,1,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-12-08,NA,Lower Reporting Limit,0.1,ug/l,2016-12-08,NWIS,2016-11-17T17:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01700208,Sample-Routine,Water,Surface Water,2016-10-27,08:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,L-3070006 FED EX LATE DELIVERY,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,2,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-11-10,NA,Lower Reporting Limit,0.1,ug/l,2016-11-10,NWIS,2016-10-27T16:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01603882,Sample-Routine,Water,Surface Water,2016-05-10,08:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,L-1390074 Deleted LC3152 per Gosselink. 5/20/2016 mec,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,20.3,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,Value or metadata reloaded per NWQL Rapi-Note 16-19,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-05-26,sample was dilutedsee result comment,Lower Reporting Limit,0.1,ug/l,2016-05-26,NWIS,2016-05-10T16:15:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01606125,Sample-Routine,Water,Surface Water,2016-08-30,10:00:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455350,NA,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,2.8,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-09-22,NA,Lower Reporting Limit,0.1,ug/l,2016-09-22,NWIS,2016-08-30T18:00:00Z,NA
USGS-CA,USGS California Water Science Center,nwisca.01.01602746,Sample-Routine,Water,Surface Water,2016-03-31,09:15:00,PST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USGS-11455315,A-1050010 Volume filt =300mL,NA,"Stable, normal stage",Routine sample,50,USGS parameter code 82398,Point sample,Van Dorn sampler,NA,Chlorophyll a,NA,6.8,ug/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,Value or metadata reloaded per NWQL Rapi-Note 16-19,70953,NA,NA,NA,NA,NA,00050,USGS,"Plant pigments, sonication & 445",NA,"USGS-National Water Quality Lab, Denver, CO",2016-04-22,see result comment,Lower Reporting Limit,0.1,ug/l,2016-04-22,NWIS,2016-03-31T17:15:00Z,NA
